,Assignee,Estimado,Plataformas,Priority,Realizado,Status,created_at,group_id,name,updated_at
0,,,Fleet Starter,,,,2018-05-01T16:54:48Z,sprint_5,[IOS] - Mudar mascara no Front para considerar 7 dígitos no hodômetro,2018-05-17T19:34:08Z
1,,,,,,,2018-04-16T13:11:08Z,sprint_5,Subir versão com as bibliotecas atualizadas para AppStore,2018-05-17T19:34:03Z
2,,,,,,,2018-05-16T17:43:44Z,sprint_5,Exportar dados do SSend.me para estatísticas da plataforma,2018-05-17T19:11:10Z
3,,,,,,,2018-04-23T12:36:32Z,sprint_5,Na API marcas e modelos incluir mais um endpoint para retornar Timestamp contendo a data da ultima atualização,2018-05-17T19:06:23Z
4,,,Fleet Starter,,,,2018-05-16T18:45:34Z,sprint_5,No Fleet starter apontar para a api de prod. (Marcas e modelos),2018-05-17T18:09:22Z
5,,,,,,,2018-05-16T19:01:32Z,sprint_5,Arrumar chamada de marcas e modelos (copy),2018-05-17T17:34:35Z
6,,,,,,,2018-04-23T12:35:00Z,sprint_5,Na API marcas e modelos mudar a validade do token para 1 dia,2018-05-17T14:30:56Z
7,,,Fleet Starter,,,,2018-05-01T16:54:27Z,sprint_5,[Android] - Mudar mascara no Front para considerar 7 dígitos no hodômetro,2018-05-17T14:30:13Z
8,,,Fleet Elite,,,,2018-05-04T18:40:14Z,sprint_5,Investigar instabilidade do ambiente fleet elite (copy),2018-05-17T11:36:21Z
9,,,Android ML,,,,2018-05-16T12:20:10Z,sprint_5,Testar persistência de dados (Marcas e Modelos) para uso offline (copy) (copy),2018-05-16T20:18:35Z
10,,,Fleet Starter,,,,2018-05-16T20:16:55Z,sprint_5,"[iOS] Depois de finalizar a viagem, no próprio APP ou web, permitir inserir observações (copy)",2018-05-16T20:17:51Z
11,,,Fleet Starter,,,,2018-05-16T20:16:59Z,sprint_5,"[Android] Depois de finalizar a viagem, no próprio APP ou web, permitir inserir observações (copy)",2018-05-16T20:17:50Z
12,,,Fleet Starter,,,,2018-04-02T17:26:13Z,sprint_5,"[WEB] Depois de finalizar a viagem, no próprio APP ou web, permitir inserir observações",2018-05-16T20:16:37Z
13,,,Fleet Starter,,,,2018-04-02T17:20:12Z,sprint_5,Botão para vincular todos colaboradores cadastrados em todos carros pool.,2018-05-16T19:58:06Z
14,,,,,,,2018-05-15T17:25:49Z,sprint_476,Arrumar chamada de marcas e modelos,2018-05-16T19:03:23Z
15,,,,,,,2018-05-16T18:33:38Z,sprint_5,Implementar push notification nos apps android APP e fleet IOS (copy),2018-05-16T19:02:53Z
16,,,Fleet Starter,,,,2018-05-11T15:55:03Z,sprint_476,[BUG] - Investigar erro durante processo de reservada de viagem,2018-05-16T18:59:49Z
17,,,,,,,2018-05-04T13:37:26Z,sprint_476,Deploy de Marcas e modelos para o Google App Engine,2018-05-16T18:59:40Z
18,,,CarroramaApp,,,,2018-05-16T12:17:23Z,sprint_5,(ANDROID)Criar tela para auxiliar o usuário ao selecionar seu veículo (copy) (copy),2018-05-16T18:55:32Z
19,,,CarroramaApp,,,,2018-05-16T12:20:04Z,sprint_5,(ANDROID)Implementar a persistência de dados (Marcas e Modelos) para uso offline (copy) (copy),2018-05-16T18:52:57Z
20,,,,,,,2018-05-04T18:29:25Z,sprint_45,"Implementar ambientes de DEV, Homologação e PROD para Mongo DB (copy)",2018-05-16T18:51:30Z
21,,,CarroramaApp,,,,2018-05-16T18:36:29Z,sprint_5,Arquitetura de Push notification,2018-05-16T18:47:48Z
22,,,,,,,2018-05-04T18:41:03Z,sprint_5,"Implementar push notification nos apps android APP, ML e fleet android(copy)",2018-05-16T18:35:01Z
23,,,Raizen,,,,2018-05-16T17:47:11Z,sprint_5,Criar um app Engine para leitura dos dados no bigQuery,2018-05-16T18:27:09Z
24,,,Raizen,,,,2018-05-16T17:44:41Z,sprint_5,extração dos dados do firebase para google cloud (copy),2018-05-16T18:24:50Z
25,,,Fleet Starter,,,,2018-05-01T16:54:48Z,sprint_5,[IOS] - Mudar mascara no Front para considerar 7 dígitos no hodômetro,2018-05-17T19:34:08Z
26,,,,,,,2018-04-16T13:11:08Z,sprint_5,Subir versão com as bibliotecas atualizadas para AppStore,2018-05-17T19:34:03Z
27,,,,,,,2018-05-16T17:43:44Z,sprint_5,Exportar dados do SSend.me para estatísticas da plataforma,2018-05-17T19:11:10Z
28,,,,,,,2018-04-23T12:36:32Z,sprint_5,Na API marcas e modelos incluir mais um endpoint para retornar Timestamp contendo a data da ultima atualização,2018-05-17T19:06:23Z
29,,,Fleet Starter,,,,2018-05-16T18:45:34Z,sprint_5,No Fleet starter apontar para a api de prod. (Marcas e modelos),2018-05-17T18:09:22Z
30,,,,,,,2018-05-16T19:01:32Z,sprint_5,Arrumar chamada de marcas e modelos (copy),2018-05-17T17:34:35Z
31,,,,,,,2018-04-23T12:35:00Z,sprint_5,Na API marcas e modelos mudar a validade do token para 1 dia,2018-05-17T14:30:56Z
